Name,Kingdom,Type,Quant,Rules
,,,,
Chaos,Power,P,1,1. Opponent discards 3 cards.
Celerity,Power,P,1,1. Play an extra action  now.
Fertility,Power,P,1,1. Draw 3 cards.
War,Power,P,1,1. Add 3 PD to an attack card just played.  
Justice,Power,P,1,1. Discard 1 card of each type. 2. Match the opponent's LP.
Protection,Power,P,1,1. Defend 5 PD. Can defend cards with «No defense».
Knowledge,Power,P,1,1. Remove 1 blocked action against you or choose 1 action that the opponent can not do on the next turn.
Life,Power,P,1,1. Heal 7 LP.
,,,,
Scout,Ak Shabakk,A,2,1. Attack for 2 PD. 4. May attack again.
Captain,Ak Shabakk,A,1,1. Attack for 5 PD in combo. 2. You lose 2 LP. 4. May attack again in combo.
Destroyer,Ak Shabakk,A,2,1. Attack for 5 PD. 3. You can not defend on the next turn.
Warrior,Ak Shabakk,A,3,1. Attack for 3 PD in combo. 2. You lose 2 LP. 4. May attack again in combo.
Emperor,Ak Shabakk,A,1,1. Attack for 10 PD. 2. You lose 6 LP. 3. You can not cast spells on the next turn.
Legionnaire,Ak Shabakk,A,1,1. Attack for 6 PD & No defense. 2. You lose 3 LP.
Sergeant,Ak Shabakk,A,2,1. Attack for 3 PD. 2. You lose 1 LP.
Shaman,Ak Shabakk,A,2,1. Attack for 1 PD. 3. Opponent discards 1 card.
Armor,Ak Shabakk,D,1,1. Defend 3 PD. 2. Heal 1 LP.
Castle,Ak Shabakk,D,1,1. Defend 5 PD. 3. You can not attack on the next turn.
Counter-attack,Ak Shabakk,D,2,1. Defend 1 PD. 2. Counter-attack for 2 PD.
Shield,Ak Shabakk,D,1,1. Defend 2 PD. 3. Draw 1 card.
Tower,Ak Shabakk,D,1,1. Defend 4 PD. 3. Opponent discards 1 card.
Mass Healing,Ak Shabakk,S,2,1. Heal 6 LP. 2. Opponent heals 1 LP.
Eclipse,Ak Shabakk,S,2,1. Heal 2 LP. 2. Deal 3 MD to opponent.
Sphere of Power,Ak Shabakk,S,1,1. Heal 2 LP. 2. Choose 1 action that the opponent can not do on the next turn.
